id,resource,concept,timestamp,role,permitId,requestedAmount,permitOrganizationalEntity,permitRequestedBudget,adjustedAmount,processTime,tripTime,TotalDeclared,RequestedAmount,Overspent,Overspent_Amount,Overspent_bool,boolProcessDelay
st_step 59326_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-07-30 11:29:54+02:00,ADMINISTRATION,59321,1182.805750719336,65459,613.1869836481995,1182.805750719336,63.0,8.0,1182.805750719336,"1,537",True,413.25093567747786,1,1
fd_declaration 48156_18,SYSTEM,Payment Handled,2018-11-05 17:31:18+01:00,UNDEFINED,48154,35.122356948307385,65467,30.890180830006702,35.122356948307385,20.0,0.0,35.122356948307385,25,False,-49.17129972763034,0,0
st_step 61069_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-09-21 09:02:00+02:00,SUPERVISOR,61061,83.11009233422519,65454,78.63338590439861,83.11009233422519,40.0,0.0,83.11009233422519,74,False,-1.1231093558679106,0,0
st_step 76162_0,STAFF MEMBER,Permit APPROVED by PRE_APPROVER,2017-01-19 11:13:22+01:00,PRE_APPROVER,76157,243.2859724581396,65455,431.71193112361794,243.2859724581396,60.0,4.0,243.2859724581396,251,False,-241.3474388130548,0,0
fd_declaration 26940_17,SYSTEM,Request Payment,2018-04-20 11:13:43+02:00,UNDEFINED,26938,2832.122014691849,65456,1560.393366650519,2832.122014691849,82.0,12.0,2832.122014691849,"2,033",True,1021.1241695863868,1,1
st_step 23276_0,STAFF MEMBER,Declaration REJECTED by ADMINISTRATION,2018-04-23 10:54:33+02:00,ADMINISTRATION,23262,678.4559086143762,65456,680.4392021157142,678.4559086143762,83.0,5.0,678.4559086143762,809,True,217.20652698531944,1,1
st_step 79581_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2017-10-20 11:22:02+02:00,SUPERVISOR,79577,182.97829206241587,65455,235.1333218314166,182.97829206241587,64.0,1.0,182.97829206241587,131,False,-68.44226191647618,0,1
st_step 74204_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-04-21 15:32:10+02:00,EMPLOYEE,74197,2134.018567384859,65459,2958.3504633288367,2134.018567384859,72.0,14.0,2134.018567384859,"1,745",True,456.7238148522699,1,1
rv_travel permit 19884_6,STAFF MEMBER,Start trip,2018-11-04 00:00:00+01:00,EMPLOYEE,19884,875.0470391724365,65456,3213.562622166982,875.0470391724365,83.0,10.0,875.0470391724365,"1,592",False,-444.11935153977936,0,1
rv_travel permit 36844_7,STAFF MEMBER,End trip,2018-03-15 00:00:00+01:00,EMPLOYEE,36844,198.88346647803849,65458,941.4601963457444,198.88346647803849,65.0,2.0,198.88346647803849,169,False,-742.5767298677058,0,1
st_step 9492_0,STAFF MEMBER,Declaration REJECTED by ADMINISTRATION,2018-03-12 12:24:40+01:00,ADMINISTRATION,9480,2290.94566289816,65454,1105.3300237141552,2290.94566289816,23.0,3.0,2290.94566289816,"1,566",True,828.0173979568062,1,0
st_step 60845_0,STAFF MEMBER,Declaration APPROVED by BUDGET OWNER,2018-11-09 09:32:04+01:00,BUDGET OWNER,60834,1511.941766391647,65454,1604.303862764023,1511.941766391647,58.0,4.0,1511.941766391647,"1,684",True,524.331348914918,1,0
st_step 54593_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-07-26 05:15:32+02:00,SUPERVISOR,54585,1143.1488169362146,65458,1634.8463294912267,1143.1488169362146,104.0,3.0,1143.1488169362146,"1,215",False,-254.18058273522087,0,1
