,id,resource,concept,timestamp,role,permitId,requestedAmount,permitTaskNumber,permitBudgetNumber,permitProjectNumber,permitOrganizationalEntity,permitRequestedBudget,permitActivityNumber,adjustedAmount,declarationNumber,processTime,tripTime,TotalDeclared,RequestedAmount,Overspent,travelPermitNumber,Overspent_Amount,Overspent_bool,boolProcessDelay
50881,st_step 59326_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-07-30 11:29:54+02:00,ADMINISTRATION,59321,1182.805750719336,427,1922,59323,65459,613.1869836481995,UNKNOWN,1182.805750719336,59325,63.0,8.0,1182.805750719336,"1,537",True,59322,413.25093567747786,1,1
43632,fd_declaration 48156_18,SYSTEM,Payment Handled,2018-11-05 17:31:18+01:00,UNDEFINED,48154,35.122356948307385,UNKNOWN,1275,UNKNOWN,65467,30.890180830006702,UNKNOWN,35.122356948307385,48157,20.0,0.0,35.122356948307385,25,False,48155,-49.17129972763034,0,0
52121,st_step 61069_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-09-21 09:02:00+02:00,SUPERVISOR,61061,83.11009233422519,UNKNOWN,864,UNKNOWN,65454,78.63338590439861,UNKNOWN,83.11009233422519,61064,40.0,0.0,83.11009233422519,74,False,61062,-1.1231093558679106,0,0
61627,st_step 76162_0,STAFF MEMBER,Permit APPROVED by PRE_APPROVER,2017-01-19 11:13:22+01:00,PRE_APPROVER,76157,243.28597245813958,427,2233,2872,65455,431.71193112361794,UNKNOWN,243.28597245813958,76160,60.0,4.0,243.28597245813958,251,False,76158,-241.34743881305482,0,0
29934,fd_declaration 26940_17,SYSTEM,Request Payment,2018-04-20 11:13:43+02:00,UNDEFINED,26938,2832.1220146918486,427,980,1230,65456,1560.393366650519,UNKNOWN,2832.1220146918486,26941,82.0,12.0,2832.1220146918486,"2,033",True,26939,1021.1241695863869,1,1
27664,st_step 23276_0,STAFF MEMBER,Declaration REJECTED by ADMINISTRATION,2018-04-23 10:54:33+02:00,ADMINISTRATION,23262,678.4559086143762,427,565,10922,65456,680.4392021157142,UNKNOWN,678.4559086143762,23265,83.0,5.0,678.4559086143762,809,True,23263,217.20652698531944,1,1
64116,st_step 79581_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2017-10-20 11:22:02+02:00,SUPERVISOR,79577,182.97829206241587,427,440,13212,65455,235.1333218314166,UNKNOWN,182.97829206241587,79580,64.0,1.0,182.97829206241587,131,False,79578,-68.44226191647618,0,1
60303,st_step 74204_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-04-21 15:32:10+02:00,EMPLOYEE,74197,2134.018567384859,427,4932,30315,65459,2958.3504633288367,UNKNOWN,2134.018567384859,74200,72.0,14.0,2134.018567384859,"1,745",True,74198,456.7238148522699,1,1
25573,rv_travel permit 19884_6,STAFF MEMBER,Start trip,2018-11-04 00:00:00+01:00,EMPLOYEE,19884,875.0470391724365,427,722,7212,65456,3213.562622166982,UNKNOWN,875.0470391724365,19887,83.0,10.0,875.0470391724365,"1,592",False,19885,-444.11935153977936,0,1
36284,rv_travel permit 36844_7,STAFF MEMBER,End trip,2018-03-15 00:00:00+01:00,EMPLOYEE,36844,198.88346647803849,427,922,36846,65458,941.4601963457443,UNKNOWN,198.88346647803849,36848,65.0,2.0,198.88346647803849,169,False,36845,-742.5767298677058,0,1
