,ApplicationType,LoanGoal,RequestedAmount,Case ID,label,Activity,org:resource,Action,EventOrigin,lifecycle:transition,Accepted,Selected,FirstWithdrawalAmount,MonthlyCost,NumberOfTerms,OfferedAmount,CreditScore,timesincelastevent,timesincecasestart,timesincemidnight,event_nr,month,weekday,hour,open_cases,time:timestamp
1069988,New credit,Motorcycle,10400.0,Application_1009604939,regular,O_Created,User_12,statechange,Offer,complete,True,False,4000.0,180.94,66.0,10400.0,0.0,0.0129666666666666,4256.33185,631,19,11,0,10,2181,2016-11-21 10:31:58.242
399005,New credit,Home improvement,11400.0,Application_525084312,regular,O_Sent (mail and online),User_61,statechange,Offer,complete,True,False,7085.77,218.48,66.0,12400.0,0.0,1.6057833333333331,4172.81685,424,16,5,4,7,1517,2016-05-20 07:04:43.408
1097939,New credit,Car,26000.0,Application_1605888035,deviant,O_Accepted,User_30,statechange,Offer,complete,True,True,26000.0,408.21,72.0,26000.0,1037.0,187.59175,15199.507216666669,625,37,12,3,10,1814,2016-12-08 10:25:56.912
248724,New credit,Car,11500.0,Application_40805563,deviant,W_Call incomplete files,User_29,Released,Workflow,suspend,True,True,11500.0,295.57,43.0,11500.0,762.0,0.15955,20950.605883333334,678,33,4,3,11,1558,2016-04-07 11:18:28.937
391919,New credit,Car,6500.0,Application_602693827,deviant,O_Create Offer,User_12,Created,Offer,complete,True,True,6500.0,130.33,58.0,6500.0,773.0,2.6601166666666667,1497.9909666666667,845,9,5,5,14,1509,2016-05-14 14:05:30.066
1059759,New credit,Remaining debt home,35000.0,Application_1885923563,regular,W_Call incomplete files,User_49,Released,Workflow,suspend,True,False,0.0,261.02,180.0,35000.0,0.0,8.101333333333333,24795.66465,1132,51,12,4,18,1764,2016-12-02 18:52:51.322
972569,New credit,Home improvement,25000.0,Application_1437966300,deviant,W_Validate application,User_134,Created,Workflow,schedule,True,True,25000.0,306.14,96.0,25000.0,930.0,0.0001,47398.61358333333,750,24,11,2,12,1886,2016-11-23 12:30:39.275
282663,New credit,Home improvement,15000.0,Application_1570992111,deviant,W_Validate application,User_121,Obtained,Workflow,start,False,True,11000.0,213.49,59.0,11000.0,751.0,3.3333333333333335e-05,21257.030733333333,434,21,4,2,7,1650,2016-04-20 07:14:41.824
553318,New credit,Not speficied,5000.0,Application_635402835,regular,O_Created,User_40,statechange,Offer,complete,True,False,6000.0,116.87,60.0,6000.0,0.0,0.0104833333333333,31675.965416666662,1063,39,7,3,17,2522,2016-07-21 17:43:49.024
175522,New credit,Remaining debt home,40000.0,Application_1753935724,deviant,W_Call after offers,User_15,Created,Workflow,schedule,True,True,954.0,418.37,120.0,40000.0,854.0,0.0007333333333333,6.568016666666667,688,10,2,0,11,1653,2016-02-29 11:28:30.428
